;Term;Occurrences;Stopword
pareil;pareil;1;
pareille;pareil;1;
pareils;pareil;2;
parent;parent;1;
parents;parent;7;
parfaire;parfair;1;
parfois;parfois;38;
pari;pari;1;
paris;paris;13;
parlais;parl;1;
parlait;parl;1;
parle;parl;9;
parlement;parl;12;
parlent;parlent;1;
parler;parl;16;
parlera;parl;1;
parlons;parlon;1;
parmi;parm;19;
parole;parol;4;
part;part;17;
partage;partag;4;
partagé;partag;3;
partageant;partag;1;
partagée;partag;1;
partagent;partagent;2;
partageons;partageon;2;
partager;partag;3;
partageront;partag;1;
partagés;partag;2;
partenaires;partenair;22;
parti;part;4;
participation;particip;2;
participe;particip;1;
participent;participent;1;
participer;particip;1;
particulier;particuli;16;
particulière;particuli;10;
particulierement;particulier;1;
particulièrement;particuli;8;
particulières;particuli;1;
particuliers;particuli;8;
partie;part;9;
partir;part;6;
partis;part;2;
partisan;partisan;2;
partisans;partisan;2;
partout;partout;26;
parts;part;1;
parvenant;parven;2;
parvenir;parven;3;
parvenus;parvenus;1;
parviendra;parviendr;3;
parviennent;parviennent;1;
parvient;parvient;4;
passage;passag;1;
passagers;passager;1;
passe;pass;11;
passé;pass;7;
passées;pass;2;
passent;passent;1;
passer;pass;2;
passera;pass;1;
passeront;pass;1;
passion;passion;3;
passionnément;passion;1;
passionnés;passion;1;
passions;passion;4;
paternité;patern;2;
patiemment;patient;3;
patience;patienc;1;
patient;patient;1;
patrie;patr;15;
patrimoine;patrimoin;6;
patriotisme;patriot;1;
patronale;patronal;1;
patronales;patronal;3;
paty;paty;2;
paul;paul;1;
pauvre;pauvr;2;
pauvres;pauvr;11;
pauvreté;pauvret;11;
paye;pay;3;
payé;pai;3;
payer;pai;5;
payés;pai;2;
pays;pay;175;
paysage;paysag;1;
paysages;paysag;1;
peau;peau;1;
pêcheurs;pêcheur;3;
peguy;peguy;1;
peine;pein;13;
peinent;peinent;1;
peines;pein;5;
peloton;peloton;1;
pénal;pénal;2;
pénale;pénal;2;
pendant;pend;13;
pénibilité;pénibil;2;
penibles;penibl;1;
pensais;pens;2;
pensait;pens;1;
pensant;pens;3;
pense;pens;49;
pensé;pens;1;
pensée;pens;24;
pensées;pens;4;
pensent;pensent;5;
penser;pens;11;
penserez;pens;2;
penserons;pens;1;
pension;pension;2;
pensions;pension;2;
pensons;penson;3;
pente;pent;1;
percevoir;percevoir;1;
perd;perd;1;
perdait;perd;1;
perdants;perd;1;
perdre;perdr;4;
perdu;perdu;7;
perdue;perdu;1;
perdus;perdus;2;
père;per;3;
pérennité;péren;1;
performance;perform;1;
performante;perform;1;
performantes;perform;1;
péri;per;1;
péril;péril;9;
périls;péril;3;
periode;period;3;
période;périod;10;
periodes;period;1;
périodes;périod;1;
permanent;permanent;1;
permanente;permanent;2;
permet;permet;9;
permettant;permet;4;
permette;permet;3;
permettent;permettent;5;
permettez;permet;1;
permettra;permettr;6;
permettrai;permettr;1;
permettraient;permettr;1;
permettrait;permettr;1;
permettre;permettr;29;
permettrez;permettr;2;
permettront;permettront;8;
permis;perm;14;
perpétrés;perpetr;1;
persécutés;persécut;1;
persécutions;persécu;1;
persévérance;perséver;1;
persévérer;perséver;1;
persévérera;perséver;1;
personnage;personnag;2;
personnalités;personnal;1;
personne;person;17;
personnel;personnel;3;
personnelle;personnel;3;
personnellement;personnel;3;
personnelles;personnel;1;
personnels;personnel;7;
personnes;person;23;
perspective;perspect;2;
perspectives;perspect;1;
persuadé;persuad;3;
pertinence;pertinent;2;
pesant;pes;1;
pesanteurs;pesanteur;1;
pèsent;pèsent;4;
peser;pes;3;
pèsera;pes;2;
pessimisme;pessim;1;
petit;pet;1;
petite;petit;2;
petites;petit;5;
petits;petit;2;
petrole;petrol;4;
pétrole;pétrol;1;
petrolier;petroli;1;
peu;peu;26;
peuple;peupl;40;
peuplee;peuple;2;
peuples;peupl;26;
peur;peur;5;
peurs;peur;3;
peut;peut;46;
peuvent;peuvent;10;
peux;peux;2;
phare;phar;1;
phénomène;phénomen;1;
phénomènes;phénomen;1;
philippe;philipp;1;
physique;physiqu;1;
pics;pic;1;
pied;pied;4;
pierre;pierr;9;
piliers;pili;1;
pionnière;pionni;1;
pire;pir;8;
pires;pir;2;
place;plac;38;
placé;plac;1;
placée;plac;1;
places;plac;4;
plain;plain;1;
plaisir;plais;1;
plaît;plaît;2;
plan;plan;20;
planche;planch;1;
planétaire;planétair;1;
planétaires;planétair;1;
planète;planet;14;
plans;plan;3;
plastique;plastiqu;1;
plateformes;plateform;1;
plein;plein;7;
pleine;plein;5;
pleinement;plein;15;
plénitude;plénitud;1;
pleurent;pleurent;1;
plongées;plong;1;
plupart;plupart;6;
pluralisme;plural;1;
pluralistes;plural;1;
plusieurs;plusieur;11;
plussur;plussur;1;
plutôt;plutôt;1;
pme;pme;1;
poeme;poem;1;
poete;poet;1;
poète;poet;1;
poids;poid;4;
point;point;6;
pointe;point;5;
points;point;4;
pôle;pôl;1;
pôles;pôl;1;
police;polic;2;
policiers;polici;8;
politique;polit;52;
politiques;polit;11;
pollution;pollut;3;
pollutions;pollut;1;
pologne;pologn;2;
polonais;polon;1;
polynésie;polynes;1;
pompiers;pompi;4;
populaire;populair;2;
populaires;populair;2;
population;popul;2;
populations;popul;3;
populismes;popul;1;
port;port;1;
portable;portabl;1;
portaient;port;2;
portant;port;4;
portants;port;1;
porte;port;10;
porté;port;4;
portée;port;3;
portent;portent;4;
porter;port;9;
portera;port;2;
portes;port;4;
porteur;porteur;1;
porteurs;porteur;2;
porteuse;porteux;3;
portugais;portug;2;
portugal;portugal;1;
posant;pos;1;
pose;pos;1;
posé;pos;3;
posée;pos;1;
posées;pos;1;
posent;posent;1;
poser;pos;3;
positions;posit;1;
possédait;possed;1;
possibilité;possibil;1;
possibilités;possibil;3;
possible;possibl;25;
possibles;possibl;3;
postes;post;1;
pourquoi;pourquoi;37;
pourra;pourr;5;
pourrait;pourr;1;
pourrons;pourron;3;
poursuite;poursuit;2;
poursuivant;poursuiv;1;
poursuivi;poursuiv;2;
poursuivons;poursuivon;1;
poursuivra;poursuivr;1;
poursuivre;poursuivr;17;
poursuivrons;poursuivron;1;
poursuivront;poursuivront;1;
pourtant;pourt;17;
pourvus;pourvus;2;
pousser;pouss;1;
pouvaient;pouv;1;
pouvait;pouv;3;
pouvez;pouv;6;
pouvoir;pouvoir;37;
pouvoirs;pouvoir;10;
pouvons;pouvon;26;
pragmatiques;pragmat;1;
prague;pragu;1;
pratique;pratiqu;1;
pratiquer;pratiqu;2;
pratiques;pratiqu;1;
pratiquez;pratiqu;1;
pré;pré;1;
préalable;préalabl;2;
précarité;précar;5;
precautions;precaut;1;
précédé;préced;1;
precedent;precedent;1;
précédent;précédent;4;
précédés;préced;2;
precieux;precieux;1;
précieux;précieux;4;
précise;précis;1;
précisé;précis;1;
precisement;precis;1;
précisément;précis;4;
préciser;précis;1;
préfecture;préfectur;1;
préférence;préférent;1;
preferences;preferent;2;
préférences;préférent;1;
prélevé;prélev;1;
prématurément;prématur;1;
premier;premi;43;
premiere;premier;2;
première;premi;28;
premières;premi;2;
premiers;premi;7;
prémunir;prémun;1;
prenant;pren;3;
prend;prend;1;
prendra;prendr;2;
prendrai;prendr;3;
prendre;prendr;33;
prendrons;prendron;2;
prendront;prendront;2;
prends;prend;1;
prenez;pren;1;
prenne;pren;2;
prennent;prennent;6;
prénoms;prénom;4;
préoccupation;préoccup;1;
préoccupations;préoccup;2;
préoccuper;préoccup;1;
prépare;prépar;2;
préparé;prépar;2;
préparée;prépar;1;
préparent;préparent;3;
preparer;prepar;1;
préparer;prépar;10;
préparés;prépar;5;
preparez;prepar;1;
préparez;prépar;1;
préparons;préparon;2;
pres;pre;1;
près;pres;12;
presence;presenc;1;
présence;présenc;2;
present;present;1;
présent;présent;5;
presentant;present;1;
présentant;présent;1;
présente;présent;6;
présentent;présentent;3;
présenter;présent;5;
présentera;présent;1;
présentes;présent;2;
présents;présent;8;
préservant;préserv;1;
préservation;préserv;2;
préservé;préserv;1;
preserver;preserv;1;
préserver;préserv;18;
préservera;préserv;1;
préserverons;préserv;1;
presidence;president;1;
présidence;président;6;
president;president;5;
président;président;10;
presidentielle;presidentiel;2;
présidentielle;présidentiel;4;
présidentielles;présidentiel;1;
présider;présid;2;
présidera;présid;2;
presque;presqu;3;
presse;press;3;
pressent;pressent;1;
pressenti;pressent;1;
pression;pression;2;
prestation;prestat;1;
prête;prêt;1;
prétendant;prétend;1;
prêtent;prêtent;1;
prêter;prêt;2;
prétexte;prétext;1;
prêtons;prêton;1;
prêts;prêt;4;
preuve;preuv;12;
prévaloir;prévaloir;3;
prévenance;préven;1;
prévenir;préven;4;
prévention;prévent;3;
prévisible;prévisibl;1;
prévoir;prévoir;2;
prévu;prévu;1;
prévues;prévu;1;
prévus;prévus;1;
prière;prier;1;
primauté;primaut;1;
primer;prim;1;
primes;prim;2;
principal;principal;2;
principalement;principal;3;
principaux;principal;1;
principe;princip;6;
principes;princip;12;
printemps;printemp;17;
prioritairement;prioritair;1;
prioritaires;prioritair;1;
priorité;priorit;14;
priorités;priorit;4;
pris;pris;17;
prise;pris;6;
prises;pris;13;
prisonniers;prisonni;1;
prisons;prison;2;
privé;priv;1;
privee;prive;1;
privées;priv;2;
prives;priv;2;
privés;priv;4;
privilèges;privileg;1;
privilégiant;privilégi;1;
privilegiee;privilegie;1;
privilégier;privilégi;1;
privilégiés;privilégi;1;
prix;prix;13;
problème;problem;2;
problemes;problem;9;
problèmes;problem;10;
procédure;procédur;2;
procédures;procédur;1;
prochain;prochain;20;
prochaine;prochain;4;
prochaines;prochain;8;
prochains;prochain;5;
proche;proch;5;
proches;proch;10;
proclame;proclam;1;
proclamer;proclam;1;
producteurs;producteur;3;
productif;product;1;
production;product;5;
productivité;product;2;
produira;produir;1;
produiraient;produir;1;
produire;produir;13;
produisons;produison;1;
produit;produit;6;
produites;produit;1;
produits;produit;3;
profanés;profan;1;
professeur;professeur;2;
professeurs;professeur;4;
profession;profess;1;
professionnalisme;professionnal;1;
professionnel;professionnel;1;
professionnelle;professionnel;16;
professionnelles;professionnel;2;
professionnels;professionnel;4;
professions;profess;1;
profit;prof;4;
profite;profit;2;
profitent;profitent;1;
profiter;profit;1;
profits;profit;3;
profond;profond;2;
profonde;profond;4;
profondement;profond;1;
profondément;profond;13;
profondes;profond;2;
profondeur;profondeur;7;
profonds;profond;4;
programme;programm;4;
programmes;programm;1;
progres;progr;4;
progrès;progres;39;
progressait;progress;1;
progresse;progress;3;
progresser;progress;6;
progresserons;progress;1;
progressif;progress;1;
progressivement;progress;1;
projet;projet;24;
projeter;projet;2;
projets;projet;8;
prolonge;prolong;1;
promesse;promess;5;
promesses;promess;4;
promis;prom;8;
promouvoir;promouvoir;3;
prompts;prompt;1;
prononcé;prononc;1;
prononcent;prononcent;1;
propagent;propagent;1;
proportionnées;proportion;1;
propos;propos;1;
proposant;propos;1;
propose;propos;7;
proposé;propos;2;
proposées;propos;1;
proposent;proposent;1;
proposer;propos;4;
proposerai;propos;1;
proposition;proposit;1;
propositions;proposit;7;
propre;propr;5;
propres;propr;8;
prospérité;prosper;6;
protection;protect;22;
protège;proteg;3;
protégé;proteg;1;
protégeant;proteg;1;
protègent;protègent;1;
proteger;proteg;1;
protéger;proteg;28;
protégera;proteg;1;
protégerons;proteg;1;
protégés;proteg;3;
protestent;protestent;1;
protocole;protocol;1;
prouesse;prouess;3;
prouver;prouv;1;
prouvons;prouvon;1;
providence;provident;1;
province;provinc;1;
provoque;provoqu;1;
provoqué;provoqu;2;
provoquent;provoquent;2;
provoquer;provoqu;1;
provoqués;provoqu;1;
proximité;proxim;1;
psychologique;psycholog;2;
psychologiques;psycholog;1;
ptt;ptt;1;
pu;pu;12;
public;public;10;
publics;public;25;
publique;publiqu;10;
publiques;publiqu;7;
puis;puis;19;
puisé;puis;2;
puisqu;puisqu;2;
puisque;puisqu;4;
puissamment;puiss;1;
puissance;puissanc;13;
puissances;puissanc;10;
puissante;puiss;2;
puissantes;puiss;1;
puissants;puiss;1;
puisse;puiss;14;
puissent;puissent;5;
puissiez;puiss;4;
puissions;puission;7;
punir;pun;1;
pur;pur;1;
purification;purif;1;
puy;puy;2;
qualifications;qualif;1;
qualifiés;qualifi;4;
qualite;qualit;2;
qualité;qualit;10;
quand;quand;43;
quant;quant;9;
quantite;quantit;2;
quaprès;quapres;1;
quarante;quar;1;
quartier;quarti;1;
quartiers;quarti;7;
quatre;quatr;10;
quatrième;quatriem;4;
quelqu;quelqu;1;
quelque;quelqu;3;
quelques;quelqu;37;
quentin;quentin;3;
quereller;querel;1;
querelles;querel;5;
question;question;10;
questions;question;3;
quiconque;quiconqu;4;
quils;quil;1;
quinquennat;quinquennat;1;
quinze;quinz;2;
quitté;quitt;2;
quittent;quittent;1;
quitter;quitt;5;
quittera;quitt;2;
quitterai;quitt;1;
quo;quo;1;
quoi;quoi;17;
quoiqu;quoiqu;1;
quotidien;quotidien;16;
quotidienne;quotidien;10;
quotidiennes;quotidien;3;
quotidiens;quotidien;1;
ququi;ququi;1;
quune;quun;1;
rabat;rabat;1;
raccompagnant;raccompagn;1;
raciales;racial;1;
raciaux;racial;1;
racine;racin;1;
racines;racin;2;
racisme;racism;7;
radical;radical;1;
radicalisation;radicalis;1;
raffarin;raffarin;3;
raison;raison;10;
raisonnable;raison;1;
raisons;raison;12;
rajeunie;rajeun;1;
ralentissement;ralent;2;
ramener;ramen;2;
rampe;ramp;1;
rancune;rancun;1;
rang;rang;14;
rangs;rang;2;
rapatriés;rapatri;1;
rapide;rapid;4;
rapidement;rapid;6;
rapides;rapid;1;
rappel;rappel;5;
rappelant;rappel;2;
rappelé;rappel;3;
rappeler;rappel;2;
rappelez;rappel;1;
rappelle;rappel;3;
rappellent;rappellent;1;
rappelons;rappelon;1;
rapport;rapport;5;
rapprochement;rapproch;1;
rapprochent;rapprochent;1;
rares;rar;1;
rassemble;rassembl;4;
rassemblé;rassembl;2;
rassemblée;rassembl;5;
rassemblement;rassembl;5;
rassemblements;rassembl;2;
rassemblent;rassemblent;1;
rassembler;rassembl;8;
rassemblera;rassembl;1;
rassemblés;rassembl;2;
rassemblons;rassemblon;1;
rassurée;rassur;1;
ratifier;ratifi;2;
rattrapage;rattrapag;1;
rattraper;rattrap;1;
ravive;raviv;1;
rayonne;rayon;2;
rayonnement;rayon;5;
rayonner;rayon;2;
ré;ré;1;
réactifs;réactif;1;
réaction;réaction;1;
réactions;réaction;1;
réaffirmer;réaffirm;3;
reagan;reagan;1;
réagissons;réag;1;
réalisations;réalis;3;
réalisé;réalis;1;
réaliser;réalis;3;
realisme;realism;2;
realiste;realist;2;
réalité;réalit;11;
réalités;réalit;3;
réaménagée;réaménag;1;
rebâtir;rebât;1;
recemment;recent;1;
récemment;récent;5;
récentes;récent;1;
récents;récent;3;
récession;récess;1;
recette;recet;1;
recettes;recet;1;
recevrons;recevron;1;
recevront;recevront;1;
réchauffement;réchauff;9;
recherche;recherch;25;
recherchée;recherch;1;
rechercher;recherch;1;
recherchons;recherchon;1;
réciprocité;réciproc;1;
réclame;réclam;1;
reclassement;reclass;1;
reçoivent;reçoivent;1;
récolte;récolt;1;
recommandations;recommand;1;
recommencer;recommenc;1;
récompensant;récompens;2;
récompense;récompens;2;
récompensé;récompens;1;
récompensés;récompens;1;
réconciliée;réconcili;2;
réconfort;réconfort;1;
reconnaissance;reconnaiss;8;
reconnaissant;reconnaiss;1;
reconnaissent;reconnaissent;1;
reconnaissons;reconnaisson;1;
reconnait;recon;1;
reconnaît;reconnaît;3;
reconnaître;reconnaîtr;2;
reconnu;reconnu;1;
reconnue;reconnu;1;
reconnus;reconnus;3;
reconquérir;reconquer;1;
reconquise;reconquis;1;
reconstruction;reconstruct;1;
reconstruire;reconstruir;2;
record;record;6;
records;record;1;
recourir;recour;1;
recours;recour;1;
recroquevillé;recroquevill;1;
recrutent;recrutent;1;
recrutés;recrut;1;
recu;recu;2;
reçu;reçu;3;
recul;recul;1;
recule;recul;6;
reculent;reculent;3;
reculer;recul;8;
redécouverte;redécouvert;1;
redevenu;redevenu;1;
redeviendra;redeviendr;1;
redire;redir;5;
redis;red;3;
redonner;redon;7;
redonnerons;redon;1;
redoubler;redoubl;1;
redoute;redout;2;
redressant;redress;1;
redressement;redress;5;
redresser;redress;1;
reduction;reduct;1;
réduction;réduct;5;
reduire;reduir;2;
réduire;réduir;9;
réduisant;réduis;1;
réduit;réduit;5;
réel;réel;2;
réelle;réel;1;
réelles;réel;3;
reels;reel;1;
référence;référent;1;
référendum;référendum;2;
réfléchir;réflech;2;
réflexion;réflexion;1;
refluer;reflu;1;
reflux;reflux;1;
refondant;refond;2;
réforme;réform;29;
reformée;reform;1;
réformée;réform;1;
réforment;réforment;1;
réformer;réform;6;
réformerons;réform;2;
réformes;réform;30;
refugies;refug;3;
réfugiés;réfugi;1;
refus;refus;3;
refusant;refus;1;
refuse;refus;1;
refuser;refus;2;
refusions;refus;1;
regagné;regagn;1;
regard;regard;2;
regardant;regard;1;
regarde;regard;1;
regardé;regard;1;
regarder;regard;3;
regardions;regard;1;
regardons;regardon;7;
regards;regard;1;
régenter;régent;1;
règes;reg;1;
régime;régim;1;
régimes;régim;1;
region;region;1;
régional;régional;1;
régionale;régional;1;
régionales;régional;1;
regions;region;2;
régions;région;5;
regle;regl;1;
règle;regl;4;
règlement;regl;1;
réglementations;réglement;2;
regler;regl;1;
règlerons;regl;1;
règles;regl;15;
régnait;regn;1;
régression;régress;1;
regrets;regret;1;
régulation;régul;1;
régulé;régul;1;
régulièrement;réguli;1;
réhabiliter;réhabilit;1;
réindustrialisation;réindustrialis;1;
réinventer;réinvent;1;
réinvention;réinvent;1;
réitérant;réiter;1;
réitérée;réiter;1;
réjoui;réjou;1;
réjouir;réjou;2;
réjouis;réjou;1;
relâche;relâch;3;
relâchement;relâch;1;
relaie;relai;1;
relançant;relanc;1;
relance;relanc;6;
relancer;relanc;4;
relation;relat;1;
relations;relat;3;
relève;relev;1;
relèvent;relèvent;2;
relever;relev;9;
relie;rel;2;
religieuses;religi;1;
religieux;religi;1;
religion;religion;6;
religions;relig;1;
remarquables;remarqu;1;
remarquerez;remarqu;1;
remboursé;rembours;1;
remercie;remerc;1;
remercié;remerci;1;
remercier;remerci;3;
remerciés;remerci;1;
remette;remet;1;
remettons;remetton;1;
remettre;remettr;6;
rémi;rem;2;
remis;rem;2;
rempart;rempart;1;
remplacer;remplac;1;
rempli;rempl;1;
remplir;rempl;1;
remplirai;rempl;1;
remporter;remport;2;
remuneration;remuner;1;
renaissance;renaiss;6;
rencontre;rencontr;4;
rencontrent;rencontrent;1;
rencontrera;rencontr;1;
rencontrerons;rencontr;1;
rencontres;rencontr;4;
rencontrons;rencontron;1;
rend;rend;3;
rendant;rend;1;
rende;rend;1;
rendez;rend;11;
rendra;rendr;1;
rendrai;rendr;3;
rendre;rendr;22;
rendrez;rendr;1;
rendu;rendu;6;
renforçant;renforc;1;
renforcé;renforc;2;
renforcée;renforc;1;
renforcées;renforc;1;
renforcer;renforc;13;
renforcés;renforc;1;
renforçons;renforçon;1;
renier;reni;2;
renonce;renonc;2;
renoncé;renonc;3;
renoncement;renonc;2;
renoncements;renonc;1;
renoncer;renonc;8;
renoncerai;renonc;1;
renouer;renou;3;
renouveau;renouveau;3;
renouvelables;renouvel;2;
renouvelé;renouvel;3;
renouvelle;renouvel;1;
renouvellement;renouvel;2;
rénovation;rénov;2;
rénovations;rénov;1;
rénover;rénov;1;
renseignement;renseign;1;
rentes;rent;1;
rentre;rentr;2;
rentrée;rentr;2;
rentrées;rentr;1;
rentrer;rentr;1;
renversé;renvers;1;
reorganiser;reorganis;1;
répandus;répandus;1;
réparation;répar;1;
reparler;reparl;1;
repart;repart;2;
repartie;repart;1;
repartir;repart;1;
répartition;répartit;2;
repenser;repens;1;
repères;reper;1;
répète;répet;4;
répété;répet;1;
répéter;répet;1;
répétition;répétit;1;
repli;repl;5;
replier;repli;2;
répond;répond;1;
réponde;répond;1;
répondent;répondent;1;
repondes;repond;1;
répondra;répondr;1;
repondre;repondr;2;
répondre;répondr;6;
répondu;répondu;2;
réponse;répons;9;
réponses;répons;5;
reporter;report;1;
repos;repos;4;
reposant;repos;2;
repose;repos;5;
reposer;repos;1;
repousser;repouss;2;
reprend;reprend;1;
reprendra;reprendr;2;
reprendre;reprendr;3;
reprennent;reprennent;1;
représentants;représent;4;
représentatif;représent;1;
représente;représent;2;
representent;representent;1;
représentent;représentent;1;
representer;represent;2;
représenter;représent;1;
représentera;représent;1;
representeront;represent;1;
répressives;répress;1;
repris;repr;2;
reprise;repris;8;
reprises;repris;1;
reproche;reproch;1;
reprochera;reproch;1;
reproduire;reproduir;1;
républicain;républicain;9;
républicaine;républicain;2;
républicaines;républicain;1;
républicains;républicain;3;
republique;republ;5;
république;républ;88;
républiques;républ;2;
républiquevive;républiquev;1;
requiert;requiert;1;
réseaux;réseau;2;
réserve;réserv;1;
réserver;réserv;1;
réservons;réservon;1;
réside;résid;3;
résidents;résident;2;
résignés;résign;1;
résilience;résilient;2;
résistance;résist;5;
résistants;résist;1;
résisté;résist;2;
resister;resist;1;
résister;résist;4;
résolu;résolu;1;
résolue;résolu;4;
résolument;résolu;3;
résolus;résolus;1;
résolution;résolu;2;
resoudre;resoudr;1;
résoudrons;résoudron;1;
respect;respect;37;
respectant;respect;3;
respecte;respect;3;
respectée;respect;4;
respectées;respect;2;
respectent;respectent;1;
respecter;respect;8;
respecterai;respect;1;
respecterons;respect;1;
respectés;respect;2;
respectons;respecton;2;
respectueuse;respectu;6;
respectueux;respectu;2;
respire;respir;3;
respirer;respir;1;
responsabilite;responsabilit;1;
responsabilité;respons;33;
responsabilites;responsabilit;1;
responsabilités;respons;16;
responsable;respons;8;
responsables;respons;12;
ressaisie;ressais;1;
ressaisissement;ressais;1;
ressemblent;ressemblent;1;
ressent;ressent;1;
ressentent;ressentent;1;
ressenti;ressent;1;
ressentir;ressent;2;
ressentis;ressent;1;
ressentons;ressenton;1;
resserrer;resserr;1;
ressorts;ressort;2;
ressources;ressourc;7;
ressurgiront;ressurg;1;
restant;rest;4;
restauration;restaur;3;
restaurent;restaurent;1;
restaurer;restaur;3;
reste;rest;24;
resté;rest;1;
restent;restent;3;
rester;rest;9;
restera;rest;4;
resteront;rest;1;
restés;rest;1;
restons;reston;5;
restreinte;restreint;1;
restrictions;restrict;4;
résultat;résultat;2;
resultats;resultat;1;
résultats;résultat;10;
résulte;résult;1;
résume;résum;3;
rétabli;rétabl;2;
rétablir;rétabl;5;
retablirons;retabl;1;
rétablis;rétabl;1;
rétablissement;rétabl;2;
retard;retard;2;
retardées;retard;1;
retenus;retenus;2;
réticence;réticent;1;
retiendra;retiendr;1;
retire;retir;1;
retour;retour;7;
retournent;retournent;1;
retourner;retourn;1;
retraite;retraite;17;
retraites;retraites;11;
retraités;retraités;1;
retrouvailles;retrouvaill;3;
retrouve;retrouv;2;
retrouvée;retrouv;5;
retrouvent;retrouvent;1;
retrouver;retrouv;20;
retrouvera;retrouv;1;
retrouverons;retrouv;3;
retrouveront;retrouv;1;
retrouvions;retrouv;3;
retrouvons;retrouvon;2;
reuni;reun;1;
réuni;réun;1;
réunir;réun;4;
réunira;réun;1;
réunirons;réun;1;
reunis;reun;1;
réunis;réun;2;
reussi;reuss;1;
réussi;réuss;6;
réussir;réuss;21;
réussirons;réuss;5;
réussisse;réuss;1;
réussissent;réuss;2;
réussite;réussit;10;
réussites;réussit;2;
revalorisation;revaloris;2;
rêve;rêv;3;
réveil;réveil;2;
réveille;réveil;1;
réveillon;réveillon;2;
révélateurs;rével;1;
révélé;rével;6;
révélée;rével;1;
révéleront;rével;2;
revenait;reven;1;
revenant;reven;1;
revendique;revend;1;
revenir;reven;2;
revenons;revenon;2;
revenu;revenu;6;
revenue;revenu;1;
revenus;revenus;2;
rêver;rêv;4;
reverrons;reverron;1;
réversible;réversibl;1;
rêves;rêv;1;
reviendra;reviendr;1;
reviens;revien;3;
revient;revient;6;
révisées;révis;1;
révision;révis;2;
révolte;révolt;1;
révolution;révolu;8;
revolutionnaire;revolutionnair;1;
révolutions;révolu;1;
revue;revu;1;
rfa;rfa;1;
rhumatismes;rhumat;1;
riche;rich;2;
riches;rich;8;
richesse;richess;6;
richesses;richess;3;
rien;rien;35;
rigueur;rigueur;3;
risquant;risqu;1;
risque;risqu;5;
risquent;risquent;4;
risques;risqu;11;
risquez;risqu;1;
rivaliser;rivalis;2;
rivalités;rival;1;
robert;robert;1;
robuste;robust;1;
role;rol;2;
rôle;rôl;19;
romain;romain;2;
rome;rom;2;
rompions;rompion;1;
rompre;rompr;1;
ronge;rong;1;
rosalie;rosal;2;
rouget;rouget;1;
roumain;roumain;1;
route;rout;4;
routes;rout;3;
routière;routi;2;
routiers;routi;1;
rouvray;rouvray;1;
rouvrent;rouvrent;1;
royaume;royaum;6;
rsa;rsa;3;
rude;rud;4;
rudes;rud;1;
rues;ru;1;
ruraux;rural;1;
russe;russ;1;
russie;russ;3;
rythme;rythm;4;
saccélère;saccéler;1;
sachant;sach;1;
sache;sach;8;
sachent;sachent;1;
sachève;sachev;1;
sachez;sach;1;
sachiez;sach;1;
sachons;sachon;4;
sacré;sacr;2;
sacrifice;sacrific;2;
sacrifices;sacrific;6;
sagesse;sagess;6;
sahel;sahel;3;
sain;sain;1;
saine;sain;3;
saines;sain;1;
saint;saint;6;
saisir;sais;5;
saison;saison;2;
saisons;saison;1;
sait;sait;14;
salaire;salair;3;
salaires;salair;4;
salarié;salari;1;
salariés;salari;21;
salit;sal;1;
salle;sall;1;
salue;salu;6;
salué;salu;1;
saluer;salu;6;
saluons;saluon;1;
salut;salut;3;
salutaire;salutair;1;
samuel;samuel;2;
sanction;sanction;1;
sanctionne;sanction;1;
sanctionnée;sanction;1;
sanctionner;sanction;1;
sanctionnés;sanction;1;
sandjak;sandjak;1;
sang;sang;8;
sanglants;sangl;1;
sanitaire;sanitair;4;
sante;sant;11;
santé;sant;17;
sapeurs;sapeur;2;
sapprêtent;sapprêtent;1;
sappuie;sappui;1;
sarajevo;sarajevo;2;
satellite;satellit;1;
satellites;satellit;1;
satisfasse;satisf;1;
saura;saur;4;
sauraient;saur;1;
saurait;saur;1;
saurions;saurion;1;
saurons;sauron;7;
sauvant;sauv;2;
sauvé;sauv;2;
sauvées;sauv;2;
sauvegarde;sauvegard;3;
sauvegardée;sauvegard;1;
sauvegardées;sauvegard;1;
sauvegarder;sauvegard;1;
sauver;sauv;7;
sauvetage;sauvetag;2;
savaient;sav;1;
savants;sav;1;
savent;savent;3;
savez;sav;5;
savoir;savoir;10;
savons;savon;9;
scandalisés;scandalis;1;
scellé;scel;3;
scène;scen;3;
sceptique;sceptiqu;1;
sceptiques;sceptiqu;1;
science;scienc;7;
sciences;scienc;3;
scientifique;scientif;3;
scientifiques;scientif;2;
scolaire;scolair;2;
scolaires;scolair;1;
scolarité;scolar;1;
scrupuleusement;scrupul;1;
scrupuleux;scrupul;1;
scrutins;scrutin;2;
sécheresse;sécheress;1;
seconde;second;5;
secours;secour;5;
secouru;secouru;1;
secrets;secret;1;
secteur;secteur;3;
secteurs;secteur;6;
sécurisation;sécuris;3;
sécuriser;sécuris;1;
sécuritaire;sécuritair;1;
securite;securit;2;
sécurité;sécur;45;
sécurités;sécur;2;
sefforcer;sefforc;1;
sein;sein;3;
seine;sein;2;
séismes;séism;1;
seize;seiz;1;
sel;sel;2;
selon;selon;3;
semaine;semain;3;
semaines;semain;12;
semblable;semblabl;2;
semblait;sembl;2;
semble;sembl;2;
sème;sem;1;
semé;sem;1;
sénat;sénat;1;
sénatoriales;sénatorial;1;
senior;senior;1;
sens;sen;33;
